datetime,datetime_nano,DCE.i1905.open,DCE.i1905.high,DCE.i1905.low,DCE.i1905.close,DCE.i1905.volume,DCE.i1905.open_oi,DCE.i1905.close_oi
2018-05-15 21:00:00.000000000,1526389200000000000,470.5,473.5,470.0,473.0,247,0,227
2018-05-15 22:00:00.000000000,1526392800000000000,473.0,473.5,472.0,473.0,158,227,373
2018-05-15 23:00:00.000000000,1526396400000000000,473.0,473.0,472.0,472.5,27,373,397
2018-05-16 09:00:00.000000000,1526432400000000000,472.5,474.0,470.5,472.0,164,397,527
2018-05-16 10:00:00.000000000,1526436000000000000,472.0,472.5,471.0,472.5,36,527,558
2018-05-16 11:00:00.000000000,1526439600000000000,472.5,474.0,471.5,474.0,53,558,600
2018-05-16 13:00:00.000000000,1526446800000000000,474.5,478.0,474.5,478.0,109,600,678
2018-05-16 14:00:00.000000000,1526450400000000000,478.0,478.0,467.5,471.0,249,678,874
2018-05-16 21:00:00.000000000,1526475600000000000,473.0,473.0,469.0,471.0,405,874,1065
2018-05-16 22:00:00.000000000,1526479200000000000,471.0,471.0,470.0,470.5,131,1065,1140
2018-05-16 23:00:00.000000000,1526482800000000000,470.5,470.5,470.5,470.5,2,1140,1140
2018-05-17 09:00:00.000000000,1526518800000000000,470.5,472.0,468.5,469.5,110,1140,1148
2018-05-17 10:00:00.000000000,1526522400000000000,469.5,470.0,466.5,469.0,204,1148,1231
2018-05-17 11:00:00.000000000,1526526000000000000,469.0,471.5,468.5,471.5,84,1231,1252
2018-05-17 13:00:00.000000000,1526533200000000000,471.5,471.5,470.0,470.0,31,1252,1268
2018-05-17 14:00:00.000000000,1526536800000000000,470.0,471.0,469.0,470.5,109,1268,1345
2018-05-17 21:00:00.000000000,1526562000000000000,471.5,473.0,470.5,471.5,369,1345,1407
2018-05-17 22:00:00.000000000,1526565600000000000,471.5,471.5,468.5,469.5,271,1407,1542
2018-05-17 23:00:00.000000000,1526569200000000000,469.5,470.5,468.5,470.5,15,1542,1540
2018-05-18 09:00:00.000000000,1526605200000000000,470.5,471.5,467.5,467.5,116,1540,1597
2018-05-18 10:00:00.000000000,1526608800000000000,467.5,469.5,465.0,465.0,201,1597,1696
2018-05-18 11:00:00.000000000,1526612400000000000,465.0,467.0,464.5,466.5,192,1696,1746
2018-05-18 13:00:00.000000000,1526619600000000000,466.5,467.0,465.5,466.0,57,1746,1788
2018-05-18 14:00:00.000000000,1526623200000000000,466.0,467.0,464.5,466.0,110,1788,1862
2018-05-18 21:00:00.000000000,1526648400000000000,464.5,465.0,460.0,461.0,445,1862,2155
2018-05-18 22:00:00.000000000,1526652000000000000,461.0,461.5,459.5,461.0,173,2155,2261
2018-05-18 23:00:00.000000000,1526655600000000000,461.0,461.0,452.5,452.5,184,2261,2363
2018-05-21 09:00:00.000000000,1526864400000000000,455.0,460.0,455.0,457.0,371,2363,2549
2018-05-21 10:00:00.000000000,1526868000000000000,457.0,457.5,455.0,456.5,150,2549,2643
