datetime,datetime_nano,DCE.i2203.open,DCE.i2203.high,DCE.i2203.low,DCE.i2203.close,DCE.i2203.volume,DCE.i2203.open_oi,DCE.i2203.close_oi
2021-03-12 21:00:00.000000000,1615554000000000000,841.0,841.0,826.5,826.5,4,0,4
2021-03-12 22:00:00.000000000,1615557600000000000,826.5,826.5,800.0,812.0,13,4,16
2021-03-15 09:00:00.000000000,1615770000000000000,812.0,824.0,799.0,824.0,24,16,32
2021-03-15 10:00:00.000000000,1615773600000000000,824.0,829.5,814.5,814.5,7,32,37
2021-03-15 11:00:00.000000000,1615777200000000000,814.5,819.0,814.5,814.5,10,37,47
2021-03-15 13:00:00.000000000,1615784400000000000,814.5,814.5,805.0,807.0,8,47,53
2021-03-15 14:00:00.000000000,1615788000000000000,807.0,816.5,807.0,815.0,7,53,57
2021-03-15 21:00:00.000000000,1615813200000000000,823.0,852.5,822.0,852.5,6,57,55
2021-03-15 22:00:00.000000000,1615816800000000000,852.5,852.5,820.0,836.0,14,55,58
2021-03-16 09:00:00.000000000,1615856400000000000,836.0,848.0,836.0,842.0,10,58,61
2021-03-16 10:00:00.000000000,1615860000000000000,842.0,846.0,831.0,838.0,9,61,64
2021-03-16 11:00:00.000000000,1615863600000000000,838.0,846.5,827.0,836.5,11,64,65
2021-03-16 13:00:00.000000000,1615870800000000000,836.5,846.0,826.5,846.0,10,65,65
2021-03-16 14:00:00.000000000,1615874400000000000,846.0,846.0,833.0,839.0,49,65,96
2021-03-16 21:00:00.000000000,1615899600000000000,819.0,833.0,819.0,830.0,17,96,89
2021-03-16 22:00:00.000000000,1615903200000000000,830.0,837.5,829.5,829.5,7,89,89
2021-03-17 09:00:00.000000000,1615942800000000000,829.5,833.5,815.5,815.5,13,89,93
2021-03-17 10:00:00.000000000,1615946400000000000,815.5,818.0,812.0,812.0,13,93,97
2021-03-17 11:00:00.000000000,1615950000000000000,812.0,824.5,812.0,824.5,13,97,96
2021-03-17 13:00:00.000000000,1615957200000000000,824.5,830.0,824.0,824.0,5,96,97
2021-03-17 14:00:00.000000000,1615960800000000000,824.0,834.0,824.0,832.0,13,97,98
2021-03-17 21:00:00.000000000,1615986000000000000,824.5,824.5,824.5,824.5,1,98,98
2021-03-17 22:00:00.000000000,1615989600000000000,824.5,830.5,819.0,825.5,18,98,99
2021-03-18 09:00:00.000000000,1616029200000000000,825.5,837.5,820.0,835.5,15,99,97
2021-03-18 10:00:00.000000000,1616032800000000000,835.5,837.5,826.0,827.0,27,97,101
2021-03-18 11:00:00.000000000,1616036400000000000,827.0,835.5,827.0,832.5,13,101,102
2021-03-18 13:00:00.000000000,1616043600000000000,836.5,836.5,820.5,822.0,21,102,117
2021-03-18 14:00:00.000000000,1616047200000000000,822.0,832.5,817.5,824.0,35,117,110
2021-03-18 21:00:00.000000000,1616072400000000000,823.0,823.0,821.5,822.5,18,110,115
2021-03-18 22:00:00.000000000,1616076000000000000,822.5,823.5,820.0,820.5,21,115,119
2021-03-19 09:00:00.000000000,1616115600000000000,820.5,820.5,803.0,817.0,76,119,160
2021-03-19 10:00:00.000000000,1616119200000000000,817.0,817.0,792.5,792.5,63,160,203
2021-03-19 11:00:00.000000000,1616122800000000000,792.5,792.5,780.5,784.5,43,203,202
2021-03-19 13:00:00.000000000,1616130000000000000,784.5,785.0,767.0,785.0,18,202,212
2021-03-19 14:00:00.000000000,1616133600000000000,785.0,786.0,774.0,778.0,33,212,221
2021-03-19 21:00:00.000000000,1616158800000000000,769.0,781.0,769.0,771.5,30,221,241
2021-03-19 22:00:00.000000000,1616162400000000000,771.5,786.0,771.5,785.5,7,241,244
