datetime,datetime_nano,SHFE.hc1906.open,SHFE.hc1906.high,SHFE.hc1906.low,SHFE.hc1906.close,SHFE.hc1906.volume,SHFE.hc1906.open_oi,SHFE.hc1906.close_oi
2018-06-19 00:00:00.000000000,1529337600000000000,3692.0,3692.0,3692.0,3692.0,0,0,0
2018-06-20 00:00:00.000000000,1529424000000000000,3692.0,3692.0,3692.0,3692.0,0,0,0
2018-06-21 00:00:00.000000000,1529510400000000000,3712.0,3712.0,3712.0,3712.0,0,0,0
2018-06-22 00:00:00.000000000,1529596800000000000,3626.0,3686.0,3626.0,3672.0,70,0,70
2018-06-25 00:00:00.000000000,1529856000000000000,3688.0,3688.0,3572.0,3611.0,320,70,229
2018-06-26 00:00:00.000000000,1529942400000000000,3567.0,3567.0,3492.0,3518.0,150,229,334
2018-06-27 00:00:00.000000000,1530028800000000000,3528.0,3542.0,3510.0,3542.0,93,334,415
2018-06-28 00:00:00.000000000,1530115200000000000,3521.0,3521.0,3521.0,3521.0,0,415,415
2018-06-29 00:00:00.000000000,1530201600000000000,3521.0,3521.0,3521.0,3521.0,0,415,415
2018-07-02 00:00:00.000000000,1530460800000000000,3521.0,3521.0,3521.0,3521.0,0,415,415
2018-07-03 00:00:00.000000000,1530547200000000000,3521.0,3521.0,3521.0,3521.0,0,415,415
2018-07-04 00:00:00.000000000,1530633600000000000,3559.0,3559.0,3559.0,3559.0,1,415,415
2018-07-05 00:00:00.000000000,1530720000000000000,3538.0,3538.0,3521.0,3521.0,22,415,416
2018-07-06 00:00:00.000000000,1530806400000000000,3535.0,3535.0,3466.0,3489.0,52,416,416
2018-07-09 00:00:00.000000000,1531065600000000000,3531.0,3531.0,3507.0,3507.0,8,416,416
2018-07-10 00:00:00.000000000,1531152000000000000,3520.0,3520.0,3520.0,3520.0,0,416,416
2018-07-11 00:00:00.000000000,1531238400000000000,3610.0,3610.0,3565.0,3588.0,7,416,413
2018-07-12 00:00:00.000000000,1531324800000000000,3584.0,3584.0,3584.0,3584.0,0,413,413
2018-07-13 00:00:00.000000000,1531411200000000000,3708.0,3708.0,3708.0,3708.0,1,413,412
2018-07-16 00:00:00.000000000,1531670400000000000,3708.0,3708.0,3708.0,3708.0,0,412,412
2018-07-17 00:00:00.000000000,1531756800000000000,3675.0,3675.0,3675.0,3675.0,0,412,412
2018-07-18 00:00:00.000000000,1531843200000000000,3675.0,3675.0,3675.0,3675.0,0,412,412
2018-07-19 00:00:00.000000000,1531929600000000000,3674.0,3681.0,3663.0,3663.0,5,412,414
2018-07-20 00:00:00.000000000,1532016000000000000,3658.0,3667.0,3654.0,3667.0,4,414,415
2018-07-23 00:00:00.000000000,1532275200000000000,3661.0,3698.0,3661.0,3698.0,3,415,416
2018-07-24 00:00:00.000000000,1532361600000000000,3706.0,3706.0,3706.0,3706.0,2,416,414
2018-07-25 00:00:00.000000000,1532448000000000000,3720.0,3720.0,3720.0,3720.0,1,414,413
2018-07-26 00:00:00.000000000,1532534400000000000,3776.0,3777.0,3776.0,3777.0,2,413,412
2018-07-27 00:00:00.000000000,1532620800000000000,3848.0,3848.0,3848.0,3848.0,0,412,412
2018-07-30 00:00:00.000000000,1532880000000000000,3878.0,3878.0,3878.0,3878.0,0,412,412
2018-07-31 00:00:00.000000000,1532966400000000000,3878.0,3878.0,3878.0,3878.0,0,412,412
2018-08-01 00:00:00.000000000,1533052800000000000,3923.0,3924.0,3874.0,3874.0,4,412,411
2018-08-02 00:00:00.000000000,1533139200000000000,3910.0,3910.0,3910.0,3910.0,0,411,411
2018-08-03 00:00:00.000000000,1533225600000000000,3888.0,3918.0,3888.0,3918.0,2,411,411
2018-08-06 00:00:00.000000000,1533484800000000000,3919.0,3919.0,3919.0,3919.0,1,411,410
2018-08-07 00:00:00.000000000,1533571200000000000,3969.0,3969.0,3969.0,3969.0,0,410,410
2018-08-08 00:00:00.000000000,1533657600000000000,3959.0,3959.0,3959.0,3959.0,0,410,410
2018-08-09 00:00:00.000000000,1533744000000000000,3959.0,3959.0,3959.0,3959.0,0,410,410
2018-08-10 00:00:00.000000000,1533830400000000000,3945.0,3945.0,3945.0,3945.0,1,410,410
2018-08-13 00:00:00.000000000,1534089600000000000,3959.0,3959.0,3959.0,3959.0,0,410,410
2018-08-14 00:00:00.000000000,1534176000000000000,3966.0,3966.0,3966.0,3966.0,0,410,410
2018-08-15 00:00:00.000000000,1534262400000000000,3966.0,3966.0,3966.0,3966.0,0,410,410
2018-08-16 00:00:00.000000000,1534348800000000000,3966.0,3966.0,3966.0,3966.0,0,410,410
2018-08-17 00:00:00.000000000,1534435200000000000,3863.0,3971.0,3863.0,3955.0,8,410,412
2018-08-20 00:00:00.000000000,1534694400000000000,4072.0,4122.0,4072.0,4122.0,2,412,411
2018-08-21 00:00:00.000000000,1534780800000000000,4165.0,4165.0,4165.0,4165.0,0,411,411
2018-08-22 00:00:00.000000000,1534867200000000000,4092.0,4120.0,4092.0,4120.0,20,411,410
2018-08-23 00:00:00.000000000,1534953600000000000,4111.0,4111.0,4014.0,4091.0,6,410,408
2018-08-24 00:00:00.000000000,1535040000000000000,4079.0,4079.0,4079.0,4079.0,7,408,401
2018-08-27 00:00:00.000000000,1535299200000000000,4049.0,4049.0,4049.0,4049.0,1,401,401
2018-08-28 00:00:00.000000000,1535385600000000000,4062.0,4082.0,4062.0,4082.0,5,401,401
2018-08-29 00:00:00.000000000,1535472000000000000,4045.0,4045.0,4010.0,4015.0,14,401,405
2018-08-30 00:00:00.000000000,1535558400000000000,3927.0,3956.0,3927.0,3956.0,8,405,403
2018-08-31 00:00:00.000000000,1535644800000000000,3942.0,3942.0,3850.0,3863.0,4,403,403
2018-09-03 00:00:00.000000000,1535904000000000000,3868.0,3868.0,3844.0,3844.0,5,403,403
2018-09-04 00:00:00.000000000,1535990400000000000,3848.0,3864.0,3848.0,3864.0,4,403,403
2018-09-05 00:00:00.000000000,1536076800000000000,3839.0,3844.0,3839.0,3844.0,2,403,403
2018-09-06 00:00:00.000000000,1536163200000000000,3841.0,3841.0,3841.0,3841.0,0,403,403
