datetime,datetime_nano,DCE.b1709.open,DCE.b1709.high,DCE.b1709.low,DCE.b1709.close,DCE.b1709.volume,DCE.b1709.open_oi,DCE.b1709.close_oi
2016-09-28 22:50:00.000000000,1475074200000000000,3883.0,3883.0,3570.0,3570.0,2,0,0
2016-09-28 22:55:00.000000000,1475074500000000000,3570.0,3570.0,3570.0,3570.0,0,0,0
2016-09-28 23:00:00.000000000,1475074800000000000,3570.0,3570.0,3570.0,3570.0,0,0,0
2016-09-28 23:05:00.000000000,1475075100000000000,3570.0,3570.0,3570.0,3570.0,0,0,0
2016-09-28 23:10:00.000000000,1475075400000000000,3570.0,3570.0,3570.0,3570.0,0,0,0
2016-09-28 23:15:00.000000000,1475075700000000000,3570.0,3790.0,3570.0,3790.0,2,0,1
2016-09-28 23:20:00.000000000,1475076000000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-28 23:25:00.000000000,1475076300000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:00:00.000000000,1475110800000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:05:00.000000000,1475111100000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:10:00.000000000,1475111400000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:15:00.000000000,1475111700000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:20:00.000000000,1475112000000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:25:00.000000000,1475112300000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:30:00.000000000,1475112600000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:35:00.000000000,1475112900000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:40:00.000000000,1475113200000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:45:00.000000000,1475113500000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:50:00.000000000,1475113800000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 09:55:00.000000000,1475114100000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 10:00:00.000000000,1475114400000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 10:05:00.000000000,1475114700000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 10:10:00.000000000,1475115000000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 10:30:00.000000000,1475116200000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 10:35:00.000000000,1475116500000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 10:40:00.000000000,1475116800000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 10:45:00.000000000,1475117100000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 10:50:00.000000000,1475117400000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 10:55:00.000000000,1475117700000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 11:00:00.000000000,1475118000000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 11:05:00.000000000,1475118300000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
2016-09-29 11:10:00.000000000,1475118600000000000,3790.0,3790.0,3790.0,3790.0,0,1,1
